"Experiment number"	"Plot number"	"Sampling date (YYMMDD)"	"Species Name"	"Depth of soil core (cm)"	"Archive sample number"	"Percent total nitrogen"	"Percent total carbon"	"Total carbon to total nitrogen ratio"
123	12	 	 	 	26855	0.7452936	38.31735	51.41242
123	13	 	 	 	26856	0.7486801	41.89189	55.95433
123	14	 	 	 	26857	0.8842962	43.10603	48.74614
123	15	 	 	 	26858	0.8496596	40.18066	47.2903
123	16	 	 	 	26859	0.7224119	37.06276	51.30419
123	17	 	 	 	26860	0.967131	42.59103	44.03853
123	18	 	 	 	26861	0.819713	40.45672	49.35474
123	19	 	 	 	26862	0.9018574	39.85188	44.18867
123	20	 	 	 	26863	1.176996	41.51437	35.27146
123	21	 	 	 	26864	1.215834	40.07346	32.95965
123	22	 	 	 	26865	1.229786	36.48379	29.66678
123	23	 	 	 	26866	1.38023	40.6592	29.45828
123	24	 	 	 	26867	1.428468	41.30735	28.91724
123	25	 	 	 	26868	1.875714	41.38932	22.0659
123	26	 	 	 	26869	0.903317	41.41065	45.84288
123	27	 	 	 	26870	1.080751	40.25798	37.25
123	28	 	 	 	26871	0.8319637	41.365	49.71972
123	29	 	 	 	26872	0.651211	40.28719	61.86503
123	30	 	 	 	26873	1.184163	35.99501	30.39701
123	31	 	 	 	26874	1.052674	39.87187	37.87675
123	32	 	 	 	26875	0.8017474	43.09619	53.75283
123	33	 	 	 	26876	0.61422	42.93973	69.90936
123	34	 	 	 	26877	0.6178955	43.10259	69.75709
123	35	 	 	 	26878	0.9065936	41.2603	45.51135
123	36	 	 	 	26879	1.297493	40.70504	31.37207
123	37	 	 	 	26880	0.532051	46.24659	86.92135
123	38	 	 	 	26881	1.067351	36.69963	34.38384
123	39	 	 	 	26882	0.5237908	41.80414	79.81076
123	40	 	 	 	26883	1.161356	40.39996	34.78689
123	41	 	 	 	26884	0.8863224	39.10537	44.12093
123	42	 	 	 	26885	0.8903499	43.91372	49.32187
123	43	 	 	 	26886	0.5362421	40.33545	75.21873
123	44	 	 	 	26887	0.6847745	39.49315	57.67322
123	45	 	 	 	26888	0.6455436	41.75423	64.68073
123	46	 	 	 	26889	0.6123425	32.07843	52.38642
123	47	 	 	 	26890	0.9839903	39.43553	40.07715
123	48	 	 	 	26891	0.876951	44.54939	50.80032
123	49	 	 	 	26892	0.4759324	43.27247	90.92146
123	50	 	 	 	26893	0.8071668	41.61712	51.5595
123	51	 	 	 	26894	0.889729	33.29822	37.42513
123	52	 	 	 	26895	0.7401893	38.10451	51.47941
123	53	 	 	 	26896	0.9005488	37.60117	41.75362
123	54	 	 	 	26897	1.142707	37.33155	32.6694
123	55	 	 	 	26898	0.5910134	40.64148	68.76575
123	56	 	 	 	26899	1.200563	39.13206	32.59476
123	57	 	 	 	26900	0.8062622	41.12151	51.00265
123	58	 	 	 	26901	1.097889	36.05738	32.84246
123	59	 	 	 	26902	1.343214	41.034	30.54912
123	60	 	 	 	26903	0.5992428	42.76888	71.37154
123	61	 	 	 	26904	0.7180693	42.91711	59.76737
123	62	 	 	 	26905	0.9500963	39.87782	41.9724
123	63	 	 	 	26906	0.6861259	40.71678	59.34302
123	64	 	 	 	26907	0.7998375	42.29291	52.87688
123	65	 	 	 	26908	0.8574161	39.7796	46.39474
123	66	 	 	 	26909	1.388264	39.92645	28.75998
123	67	 	 	 	26910	0.7432086	42.49929	57.18353
123	68	 	 	 	26911	0.944961	35.8225	37.90897
123	69	 	 	 	26912	0.7395977	42.05917	56.86763
123	70	 	 	 	26913	0.7978814	41.08221	51.48912
123	71	 	 	 	26914	0.8422627	38.14711	45.29123
123	72	 	 	 	26915	0.71258	38.81162	54.46633
123	73	 	 	 	26916	1.046433	38.73551	37.01671
123	74	 	 	 	26917	0.8937419	37.71338	42.19717
123	75	 	 	 	26918	0.7755961	44.58864	57.48951
123	76	 	 	 	26919	0.5110977	45.00106	88.04786
123	77	 	 	 	26920	0.7483301	44.70703	59.74239
123	78	 	 	 	26921	0.9946579	43.66552	43.90004
123	79	 	 	 	26922	1.262337	44.88869	35.55999
123	80	 	 	 	26923	0.7579213	40.6803	53.67351
123	81	 	 	 	26924	1.66269	37.01412	22.26159
123	82	 	 	 	26925	1.175747	39.49337	33.59002
123	83	 	 	 	26926	0.7346767	41.82825	56.93423
123	84	 	 	 	26927	0.8522191	38.86151	45.60037
123	85	 	 	 	26928	0.949546	40.65703	42.81734
123	86	 	 	 	26929	1.051943	43.29969	41.16163
123	87	 	 	 	26930	0.6641798	37.24011	56.06932
123	88	 	 	 	26931	0.7216404	38.63396	53.5363
123	89	 	 	 	26932	1.043548	41.75291	40.01053
123	90	 	 	 	26933	0.9584372	42.25108	44.08331
123	91	 	 	 	26934	0.8670726	36.68292	42.30663
123	92	 	 	 	26935	1.03786	36.51519	35.18316
123	93	 	 	 	26936	0.8752993	40.30981	46.0526
123	94	 	 	 	26937	0.797393	37.78593	47.38683
123	95	 	 	 	26938	0.9020928	41.58599	46.09946
123	96	 	 	 	26939	0.6068959	40.8644	67.33346
123	97	 	 	 	26940	1.395363	41.8254	29.97457
123	98	 	 	 	26941	0.8735973	40.01805	45.80835
123	99	 	 	 	26942	1.195189	39.43035	32.99089
123	100	 	 	 	26943	0.9234719	39.34468	42.60517
123	101	 	 	 	26944	0.706896	43.2861	61.23404
123	102	 	 	 	26945	1.025891	41.30263	40.26025
123	103	 	 	 	26946	0.8582348	35.27247	41.09886
123	104	 	 	 	26947	0.5907944	39.22011	66.38538
123	105	 	 	 	26948	0.7026903	41.14097	58.5478
123	106	 	 	 	26949	1.050048	37.09352	35.32555
123	107	 	 	 	26950	0.7770085	36.97161	47.58199
123	108	 	 	 	26951	0.7320906	45.54271	62.20912
123	109	 	 	 	26952	1.212545	42.53887	35.0823
123	110	 	 	 	26953	0.6694006	41.44542	61.91423
123	111	 	 	 	26954	0.7742957	38.54754	49.784
123	112	 	 	 	26955	0.8990079	41.22697	45.8583
